OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"484132MB","PROPOSITION 50","NO","6","100.00%"
"484132MB","PROPOSITION 50","YES","1","100.00%"
"484135MB","PROPOSITION 50","NO","18","50.00%"
"484135MB","PROPOSITION 50","YES","3","50.00%"
"484139MB","PROPOSITION 50","YES","0","0.00%"
"484139MB","PROPOSITION 50","NO","0","0.00%"
"484160MB","PROPOSITION 50","YES","2","50.00%"
"484160MB","PROPOSITION 50","NO","1","50.00%"
"484161MB","PROPOSITION 50","YES","0","0.00%"
"484161MB","PROPOSITION 50","NO","0","0.00%"
"484162MB","PROPOSITION 50","YES","7","40.00%"
"484162MB","PROPOSITION 50","NO","5","40.00%"
"485020MB","PROPOSITION 50","YES","0","0.00%"
"485020MB","PROPOSITION 50","NO","0","0.00%"
"485021MB","PROPOSITION 50","YES","0","0.00%"
"485021MB","PROPOSITION 50","NO","0","0.00%"
"511126","PROPOSITION 50","YES","900","30.73%"
"511126","PROPOSITION 50","NO","323","30.73%"
"511131MB","PROPOSITION 50","YES","17","31.63%"
"511131MB","PROPOSITION 50","NO","14","31.63%"
"511135MB","PROPOSITION 50","YES","0","0.00%"
"511135MB","PROPOSITION 50","NO","0","0.00%"
"521041MB","PROPOSITION 50","YES","117","27.04%"
"521041MB","PROPOSITION 50","NO","52","27.04%"
"521042MB","PROPOSITION 50","YES","94","30.28%"
"521042MB","PROPOSITION 50","NO","48","30.28%"
"521043MB","PROPOSITION 50","YES","7","30.23%"
"521043MB","PROPOSITION 50","NO","6","30.23%"
"521044MB","PROPOSITION 50","NO","1","100.00%"
"521044MB","PROPOSITION 50","YES","0","100.00%"
"521045MB","PROPOSITION 50","YES","0","0.00%"
"521045MB","PROPOSITION 50","NO","0","0.00%"
"521047MB","PROPOSITION 50","YES","0","0.00%"
"521047MB","PROPOSITION 50","NO","0","0.00%"
"545209","PROPOSITION 50","YES","414","27.88%"
"545209","PROPOSITION 50","NO","153","27.88%"
"545211MB","PROPOSITION 50","YES","1","40.00%"
"545211MB","PROPOSITION 50","NO","1","40.00%"
"545238MB","PROPOSITION 50","NO","57","54.14%"
"545238MB","PROPOSITION 50","YES","41","54.14%"
"547239MB","PROPOSITION 50","YES","249","41.80%"
"547239MB","PROPOSITION 50","NO","238","41.80%"
"547240MB","PROPOSITION 50","YES","0","0.00%"
"547240MB","PROPOSITION 50","NO","0","0.00%"
"547265MB","PROPOSITION 50","YES","0","0.00%"
"547265MB","PROPOSITION 50","NO","0","0.00%"
"548211MB","PROPOSITION 50","YES","6","25.00%"
"548211MB","PROPOSITION 50","NO","4","25.00%"
"548212MB","PROPOSITION 50","YES","0","0.00%"
"548212MB","PROPOSITION 50","NO","0","0.00%"
"548241MB","PROPOSITION 50","YES","0","0.00%"
"548241MB","PROPOSITION 50","NO","0","0.00%"
"548265MB","PROPOSITION 50","YES","14","33.33%"
"548265MB","PROPOSITION 50","NO","2","33.33%"
"554021","PROPOSITION 50","YES","608","38.12%"
"554021","PROPOSITION 50","NO","514","38.12%"
"554024MB","PROPOSITION 50","YES","12","39.02%"
"554024MB","PROPOSITION 50","NO","4","39.02%"
"554025MB","PROPOSITION 50","NO","22","51.85%"
"554025MB","PROPOSITION 50","YES","6","51.85%"
"565001","PROPOSITION 50","YES","362","37.07%"
"565001","PROPOSITION 50","NO","299","37.07%"
"581002MB","PROPOSITION 50","YES","3","75.00%"
"581002MB","PROPOSITION 50","NO","0","75.00%"
"581003MB","PROPOSITION 50","YES","2","28.57%"
"581003MB","PROPOSITION 50","NO","0","28.57%"
"581004MB","PROPOSITION 50","YES","0","0.00%"
"581004MB","PROPOSITION 50","NO","0","0.00%"
"581008MB","PROPOSITION 50","YES","1","66.67%"
"581008MB","PROPOSITION 50","NO","1","66.67%"
"581009MB","PROPOSITION 50","YES","24","37.37%"
"581009MB","PROPOSITION 50","NO","13","37.37%"
"581010MB","PROPOSITION 50","YES","1","25.00%"
"581010MB","PROPOSITION 50","NO","0","25.00%"
"581011MB","PROPOSITION 50","YES","0","0.00%"
"581011MB","PROPOSITION 50","NO","0","0.00%"
"581125MB","PROPOSITION 50","NO","9","32.14%"
"581125MB","PROPOSITION 50","YES","0","32.14%"
"581145MB","PROPOSITION 50","YES","0","0.00%"
"581145MB","PROPOSITION 50","NO","0","0.00%"
"581146MB","PROPOSITION 50","YES","0","0.00%"
"581146MB","PROPOSITION 50","NO","0","0.00%"
"581147MB","PROPOSITION 50","YES","2","75.00%"
"581147MB","PROPOSITION 50","NO","1","75.00%"
"581148MB","PROPOSITION 50","YES","0","0.00%"
"581148MB","PROPOSITION 50","NO","0","0.00%"
"582112MB","PROPOSITION 50","YES","0","0.00%"
"582112MB","PROPOSITION 50","NO","0","0.00%"
"582133MB","PROPOSITION 50","YES","0","0.00%"
"582133MB","PROPOSITION 50","NO","0","0.00%"
"582134MB","PROPOSITION 50","NO","9","50.00%"
"582134MB","PROPOSITION 50","YES","7","50.00%"
"582135MB","PROPOSITION 50","YES","0","0.00%"
"582135MB","PROPOSITION 50","NO","0","0.00%"
"582136MB","PROPOSITION 50","YES","0","0.00%"
"582136MB","PROPOSITION 50","NO","0","0.00%"
"582224MB","PROPOSITION 50","YES","0","0.00%"
"582224MB","PROPOSITION 50","NO","0","0.00%"
"584003MB","PROPOSITION 50","YES","0","0.00%"
"584003MB","PROPOSITION 50","NO","0","0.00%"
"584004MB","PROPOSITION 50","NO","42","54.84%"
"584004MB","PROPOSITION 50","YES","9","54.84%"
"584005MB","PROPOSITION 50","NO","17","36.07%"
